CECS 100, CRIT THINK IN DIGITAL INFO AGE, 3 Units, 01, 3330, NONE, NONE, 1, SEM, MW, 2-2:50PM, Open, ECS-302, Golshani F, Class instruction is: Face to Face - On Campus.
CECS 524, ADV TOPICS IN PROGRAMMING LANG, 3 Units, 02, NONE, NONE, NONE, NONE, NONE, F, 12-2:45PM, NONE, ONLINE-ONLY, Staff, additional meeting detail
CECS 528, ADV ANALYSIS OF ALGORITHMS, 3 Units, 01, 4165, NONE, NONE, 1, SEM, MW, 8-9:15AM, Open, HC-120, Ebert T, Class instruction is: Face to Face - On Campus.
CECS 528, ADV ANALYSIS OF ALGORITHMS, 3 Units, 02, 8247, NONE, NONE, 1, SEM, MW, 5-6:15PM, Open, ECS-302, Fahim A, Class instruction is: Face to Face - On Campus.
CECS 528, ADV ANALYSIS OF ALGORITHMS, 3 Units, 03, 9969, NONE, NONE, NONE, SEM, MW, 3:30-4:45PM, Open, ECS-302, Ghasemkhani A, Class instruction is: Face to Face - On Campus.
CECS 530, ADV COMPUTER ARCHITECTURE I, 3 Units, 01, 8199, NONE, NONE, 1, SEM, Sa, 11-1:45PM, Open, ECS-306, Seyyedhosseini M, Class instruction is: Face to Face - On Campus.
CECS 530, ADV COMPUTER ARCHITECTURE I, 3 Units, 02, 9970, NONE, NONE, NONE, SEM, TuTh, 8-9:15AM, Open, ECS-302, Wu X, Class instruction is: Face to Face - On Campus.
CECS 530, ADV COMPUTER ARCHITECTURE I, 3 Units, 03, 9993, NONE, NONE, NONE, SEM, F, 3-5:45PM, Open, ECS-308, Wu X, Class instruction is: Face to Face - On Campus.
CECS 532, MEMORY DESIGN IMPLEMENTATION, 3 Units, 01, 6772, NONE, NONE, 311,1, SEM, F, 9-11:45AM, NONE, ECS-302, Wu X, Class instruction is: Hybrid (Face to Face & Online).
CECS 532, MEMORY DESIGN IMPLEMENTATION, 3 Units, 01, NONE, NONE, NONE, NONE, NONE, F, 9-11:45AM, NONE, ONLINE-ONLY, Staff, additional meeting detail
CECS 543, ADVANCED SOFTWARE ENGINEERING, 3 Units, 01, 9974, NONE, NONE, 1, SEM, MW, 6:30-7:45PM, Open, ECS-407, Link D, Class instruction is: Face to Face - On Campus.
CECS 543, ADVANCED SOFTWARE ENGINEERING, 3 Units, 02, 6918, NONE, NONE, 1, SEM, TuTh, 9:30-10:45AM, Open, HC-120, Basit A, Class instruction is: Face to Face - On Campus.
CECS 547, SOFTWARE MAINT REENGIN & REUSE, 3 Units, 01, 8246, NONE, NONE, 1, SEM, TuTh, 5-6:15PM, NONE, ECS-414, Basit A, Class instruction is: Face to Face - On Campus.
CECS 550, PATTERN RECOGNITION, 3 Units, 01, 8175, NONE, NONE, 1, SEM, MW, 6:30-7:45PM, Open, ECS-306, Ghazarian A, Class instruction is: Face to Face - On Campus.
CECS 551, ADV ARTIFICIAL INTELLIGENCE, 3 Units, 01, 7752, NONE, NONE, 1,311, SEM, TuTh, 12:30-1:45PM, Open, COB-140A, Moon J, Class instruction is: Hybrid (Face to Face & Online).
CECS 551, ADV ARTIFICIAL INTELLIGENCE, 3 Units, 01, NONE, NONE, NONE, NONE, NONE, TuTh, 12:30-1:45PM, NONE, ONLINE-ONLY, Staff, additional meeting detail
CECS 552, COMPUTER SIMULATION & MODELING, 3 Units, 01, 8217, NONE, NONE, 1, SEM, Sa, 4-6:45PM, NONE, ECS-404, Mehrnia A, Class instruction is: Face to Face - On Campus.
CECS 553, MACHINE VISION, 3 Units, 01, 11735, NONE, NONE, NONE, SEM, Sa, 11-1:45PM, NONE, ECS-403, Sodagari S, Class instruction is: Face to Face - On Campus.
CECS 574, TOPICS DISTRIBUTED COMPUTING, 3 Units, 02, 8021, NONE, NONE, 1, SEM, Sa, 8-10:45AM, NONE, VEC-518, Yaghini P, Class instruction is: Face to Face - On Campus.
CECS 577, BLOCKCHAIN TECHNOLOGY, 3 Units, 01, 9200, NONE, NONE, NONE, LEC, MW, 5-6:15PM, NONE, ECS-306, Golshani F, Class instruction is: Face to Face - On Campus.
CECS 579, INFORMATION SECURITY, 3 Units, 02, 11613, NONE, NONE, NONE, SEM, Sa, 8-10:45AM, NONE, ECS-403, Sodagari S, Class instruction is: Face to Face - On Campus.
CECS 697, DIRECTED RESEARCH, 1-3 Units, 14, 3661, NONE, NONE, 3,180, SUP, TBA, NA, Open, NA, Staff, Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 697, DIRECTED RESEARCH, 1-3 Units, 15, 4924, NONE, NONE, 1,3, SUP, TBA, NA, Open, NA, Staff, Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 697, DIRECTED RESEARCH, 1-3 Units, 16, 5025, NONE, NONE, 1,3, SUP, TBA, NA, Open, NA, Staff, Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 697, DIRECTED RESEARCH, 1-3 Units, 17, 5461, NONE, NONE, 1,3, SUP, TBA, NA, Open, NA, Staff, Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 697, DIRECTED RESEARCH, 1-3 Units, 18, 10068, NONE, NONE, 1,3, SUP, TBA, NA, Open, ECS-536, Staff, Instructor Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 698, THESIS OR INDUSTRIAL PROJECT, 3-6 Units, 01, 1154, NONE, NONE, 8,180, SUP, TBA, NA, Open, NA, Staff, Department Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 698, THESIS OR INDUSTRIAL PROJECT, 3-6 Units, 04, 10150, NONE, NONE, 8,180, SUP, TBA, NA, Open, ECS-536, Staff, Department Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 698, THESIS OR INDUSTRIAL PROJECT, 3-6 Units, 17, 3660, NONE, NONE, 8,180, SUP, TBA, NA, Open, NA, Staff, Department Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 698, THESIS OR INDUSTRIAL PROJECT, 3-6 Units, 18, 6116, NONE, NONE, 8,180, SUP, TBA, NA, Open, NA, Staff, Department Consent RequiredClass instruction is: Face to Face - On Campus.
CECS 698, THESIS OR INDUSTRIAL PROJECT, 3-6 Units, 19, 10227, NONE, NONE, 8,180, SUP, TBA, NA, Open, ECS-539, Staff, Department Consent RequiredClass instruction is: Face to Face - On Campus.
