ACCT 201, ELEM FINANCIAL ACCOUNTING, 3 Units, 01, 10833, NONE, NONE, NONE, SEM, MW, 8-9:15AM, OPEN, COB-140, Johnson D, Class instruction is: Face to Face - On Campus.
CWL 451, FILM AND NOVEL IN SOCIETY, 3 Units, 02, 10155, NONE, NONE, NONE, LEC, TuTh, 9:30-10:45AM, OPEN, LA5-267, Shaw C, Class instruction is: Face to Face - On Campus.
CWL 480, UNDERGRADUATE RESEARCH SEMINAR, 3 Units, 01, 5866, NONE, NONE, NONE, SEM, TuTh, 9:30-10:45AM, OPEN, LA3-204, Dahab E, Class instruction is: Face to Face - On Campus.
CWL 499, DIRECTED STUDIES, 1-4 Units, 01, 2020, NONE, NONE, 3 305, SUP, TBA, NA, OPEN, ONLINE-ONLY, Velcic V, nstructor Consent Required Class instruction is: Asynch. Online-No Meet Times.
CWL 499, DIRECTED STUDIES, 1-4 Units, 02, 6233, NONE, NONE, 305, SUP, TBA, NA, OPEN, ONLINE-ONLY, Chew K, nstructor Consent Required Class instruction is: Asynch. Online-No Meet Times.
CWL 499, DIRECTED STUDIES, 1-4 Units, 03, 6654, NONE, NONE, 305, SUP, TBA, NA, OPEN, ONLINE-ONLY, Dahab E, nstructor Consent Required Class instruction is: Asynch. Online-No Meet Times.
CWL 499, DIRECTED STUDIES, 1-4 Units, 04, 9324, NONE, NONE, 305, SUP, TBA, NA, OPEN, ONLINE-ONLY, Staff, nstructor Consent Required Class instruction is: Asynch. Online-No Meet Times.
CWL 530, DANTE, 3 Units, 01, 10098, NONE, NONE, NONE, SEM, TuTh, 2-3:15PM, OPEN, AS-241, Vettore E, Class instruction is: Face to Face - On Campus.
CECS 105, INTRODUCTION TO CECS, 1 Unit, 01, 8856, NONE, NONE, NONE, SEM, Tu, 3:30-4:20PM, OPEN, HC-100, Staff, Class instruction is: Face to Face - On Campus.
CECS 105, INTRODUCTION TO CECS, 1 Unit, 02, 9298, NONE, NONE, NONE, SEM, Th, 3:30-4:20PM, OPEN, HC-100, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 01, 1117, NONE, NONE, 1, SEM, MW, 12-12:50PM, OPEN, HC-120, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 02, 1821, NONE, NONE, 1, LAB, MW, 1-2:15PM, OPEN, ECS-413, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 03, 2646, NONE, NONE, 1, LAB, MW, 1-2:15PM, OPEN, ECS-414, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 04, 2647, NONE, NONE, 1, LAB, MW, 10:30-11:45AM, OPEN, ECS-403, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 06, 2975, NONE, NONE, 1, SEM, TuTh, 12:30-1:20PM, OPEN, HC-120, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 07, 3012, NONE, NONE, 1, LAB, TuTh, 1:30-2:45PM, OPEN, ECS-404, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 08, 3013, NONE, NONE, 1, LAB, TuTh, 1:30-2:45PM, OPEN, ECS-407, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 09, 7501, NONE, NONE, 1, LAB, TuTh, 1:30-2:45PM, OPEN, ECS-412, Staff, Class instruction is: Face to Face - On Campus.
CECS 201, COMPUTER LOGIC DESIGN I, 3 Units, 01, 7009, NONE, NONE, 1, SEM, MW, 7:30-8:20PM, OPEN, VEC-518, Staff, Class instruction is: Face to Face - On Campus.
CECS 201, COMPUTER LOGIC DESIGN I, 3 Units, 02, 7010, NONE, NONE, 1, LAB, MW, 8:30-9:45PM, OPEN, VEC-518, Staff, Class instruction is: Face to Face - On Campus.
CECS 211, PRIN OF COMPUTER ENGINEERING I, 3 Units, 01, 2644, NONE, NONE, 1, SEM, TuTh, 9:30-10:20AM, OPEN, ECS-411, Staff, Class instruction is: Face to Face - On Campus.
CECS 211, PRIN OF COMPUTER ENGINEERING I, 3 Units, 02, 2645, NONE, NONE, 1, LAB, TuTh, 10:30-11:45AM, OPEN, ECS-411, Staff, Class instruction is: Face to Face - On Campus.
CECS 225, DIGITAL LOGIC AND ASSEMBLY PRO, 3 Units, 01, 4712, NONE, NONE, 1, SEM, MW, 3:30-4:45PM, OPEN, ECS-105, Staff, Class instruction is: Face to Face - On Campus.
CECS 225, DIGITAL LOGIC AND ASSEMBLY PRO, 3 Units, 02, 4827, NONE, NONE, 1, SEM, TuTh, 8-9:15AM, OPEN, HC-120, Staff, Class instruction is: Face to Face - On Campus.
CECS 228, DISCRETE STRUC-COMPUTING APPL, 3 Units, 01, 1118, NONE, NONE, 1, SEM, Sa, 1-3:30PM, OPEN, ECS-105, Staff, Class instruction is: Face to Face - On Campus.
CECS 228, DISCRETE STRUC-COMPUTING APPL, 3 Units, 02, 3275, NONE, NONE, 1, SEM, MW, 8-9:15AM, OPEN, HC-120, Staff, lass instruction is: Face to Face - On Campus. Class offered with CECS-228H-03
CECS 228, DISCRETE STRUC-COMPUTING APPL, 3 Units, 03, 8866, NONE, NONE, NONE, SEM, TuTh, 12:30-1:45PM, OPEN, ECS-414, Staff, Class instruction is: Face to Face - On Campus.
CECS 228H, DISCRETE STRUC-COMPUTING APPL, 3 Units, 03, 6111, NONE, NONE, 1 34, SEM, MW, 8-9:15AM, OPEN, HC-120, Staff, lass instruction is: Face to Face - On Campus. Class offered with CECS-228-02
CECS 229, DISCRETE STRUCT COMP APPLIC II, 3 Units, 01, 4355, NONE, NONE, 1, SEM, F, 12-2:30PM, OPEN, ECS-412, Staff, Class instruction is: Face to Face - On Campus.
CECS 229, DISCRETE STRUCT COMP APPLIC II, 3 Units, 02, 4448, NONE, NONE, 1, SEM, TuTh, 12:30-1:45PM, OPEN, HC-100, Staff, Class instruction is: Face to Face - On Campus.
CECS 262, INTRO TO EMBEDDED SYST PROG, 3 Units, 01, 7011, NONE, NONE, 1, SEM, F, 8-9:40AM, OPEN, ECS-411, Staff, Class instruction is: Face to Face - On Campus.
CECS 262, INTRO TO EMBEDDED SYST PROG, 3 Units, 02, 7012, NONE, NONE, 1, LAB, F, 10-12:45PM, OPEN, ECS-411, Staff, Class instruction is: Face to Face - On Campus.
CECS 271, INTRO TO NUMERICAL METHODS, 3 Units, 01, 3599, NONE, NONE, 1, SEM, TuTh, 8-9:15PM, OPEN, ECS-411, Staff, Class instruction is: Face to Face - On Campus.
CECS 274, DATA STRUCTURES, 3 Units, 01, 2648, NONE, NONE, 1, SEM, F, 8-9:50AM, OPEN, ECS-105, Staff, Class instruction is: Face to Face - On Campus.
CECS 274, DATA STRUCTURES, 3 Units, 02, 2649, NONE, NONE, 1, LAB, F, 10-12:45PM, OPEN, VEC-518, Staff, Class instruction is: Face to Face - On Campus.
CECS 274, DATA STRUCTURES, 3 Units, 03, 3651, NONE, NONE, 1, LAB, F, 1-3:45PM, OPEN, VEC-518, Staff, Class instruction is: Face to Face - On Campus.
CECS 274, DATA STRUCTURES, 3 Units, 04, 3652, NONE, NONE, 1, LAB, F, 1-3:45PM, OPEN, DESN-112, Staff, Class instruction is: Face to Face - On Campus.
CECS 275, PROGRAMMING AND DATA STRUCTURE, 3 Units, 01, 4713, NONE, NONE, 1, SEM, MW, 5:30-6:20PM, OPEN, ECS-308, Staff, Class instruction is: Face to Face - On Campus.
CECS 275, PROGRAMMING AND DATA STRUCTURE, 3 Units, 02, 4714, NONE, NONE, 1, LAB, MW, 6:30-7:45PM, OPEN, ECS-411, Staff, Class instruction is: Face to Face - On Campus.
CECS 277, OBJ ORIENTED APPL DEVELOPMENT, 3 Units, 01, 3193, NONE, NONE, 1, SEM, TuTh, 9:30-10:20AM, OPEN, ECS-105, Staff, Class instruction is: Face to Face - On Campus.
CECS 277, OBJ ORIENTED APPL DEVELOPMENT, 3 Units, 02, 3194, NONE, NONE, 1, LAB, TuTh, 10:30-11:45AM, OPEN, ECS-403, Staff, Class instruction is: Face to Face - On Campus.
CECS 277, OBJ ORIENTED APPL DEVELOPMENT, 3 Units, 03, 4044, NONE, NONE, 1, LAB, TuTh, 10:30-11:45AM, OPEN, ECS-404, Staff, Class instruction is: Face to Face - On Campus.
CECS 277, OBJ ORIENTED APPL DEVELOPMENT, 3 Units, 04, 4045, NONE, NONE, 1, LAB, TuTh, 10:30-11:45AM, OPEN, ECS-413, Staff, Class instruction is: Face to Face - On Campus.
CECS 277, OBJ ORIENTED APPL DEVELOPMENT, 3 Units, 05, 6122, NONE, NONE, 1, LAB, TuTh, 10:30-11:45AM, OPEN, ECS-407, Staff, Class instruction is: Face to Face - On Campus.
CECS 277, OBJ ORIENTED APPL DEVELOPMENT, 3 Units, 06, 6123, NONE, NONE, 1, SEM, MW, 11-11:50AM, OPEN, HC-120, Staff, Class instruction is: Face to Face - On Campus.
CECS 277, OBJ ORIENTED APPL DEVELOPMENT, 3 Units, 07, 6125, NONE, NONE, 1, LAB, MW, 12-1:15PM, OPEN, ECS-412, Staff, Class instruction is: Face to Face - On Campus.
CECS 277, OBJ ORIENTED APPL DEVELOPMENT, 3 Units, 08, 6126, NONE, NONE, 1, LAB, MW, 12-1:15PM, OPEN, ECS-416, Staff, Class instruction is: Face to Face - On Campus.
CECS 277, OBJ ORIENTED APPL DEVELOPMENT, 3 Units, 09, 8540, NONE, NONE, NONE, LAB, MW, 12-1:15PM, OPEN, ECS-407, Staff, Class instruction is: Face to Face - On Campus.
CECS 277, OBJ ORIENTED APPL DEVELOPMENT, 3 Units, 10, 8541, NONE, NONE, NONE, LAB, MW, 12-1:15PM, OPEN, ECS-404, Staff, Class instruction is: Face to Face - On Campus.
CECS 301, COMPUTER LOGIC DESIGN II, 3 Units, 01, 7031, NONE, NONE, 1, SEM, MW, 12-12:50PM, OPEN, ECS-403, Staff, Class instruction is: Face to Face - On Campus.
CECS 301, COMPUTER LOGIC DESIGN II, 3 Units, 02, 7032, NONE, NONE, 1, LAB, MW, 1-2:15PM, OPEN, ECS-403, Staff, Class instruction is: Face to Face - On Campus.
CECS 302, INTRO TO COMPUTER FORENSICS, 3 Units, 01, 4948, NONE, NONE, 1, SEM, MW, 5:30-6:20PM, OPEN, ECS-302, Staff, Class instruction is: Face to Face - On Campus.
CECS 302, INTRO TO COMPUTER FORENSICS, 3 Units, 02, 4949, NONE, NONE, 1, LAB, MW, 6:30-7:45PM, OPEN, ECS-403, Staff, Class instruction is: Face to Face - On Campus.
CECS 303, NETWORKS AND NETWORK SECURITY, 3 Units, 03, 7495, NONE, NONE, 1, SEM, TuTh, 5-5:50PM, OPEN, ECS-403, Staff, Class instruction is: Face to Face - On Campus.
CECS 303, NETWORKS AND NETWORK SECURITY, 3 Units, 04, 7496, NONE, NONE, 1, LAB, TuTh, 6-7:15PM, OPEN, ECS-403, Staff, Class instruction is: Face to Face - On Campus.
CECS 311, PRIN OF COMPUTER ENGINEERNG II, 3 Units, 01, 2711, NONE, NONE, 1, SEM, MW, 8-8:50AM, OPEN, ECS-411, Staff, Class instruction is: Face to Face - On Campus.
CECS 311, PRIN OF COMPUTER ENGINEERNG II, 3 Units, 02, 2712, NONE, NONE, 1, LAB, MW, 9-10:15AM, OPEN, ECS-411, Staff, Class instruction is: Face to Face - On Campus.
CECS 323, DATABASE FUNDAMENTALS, 3 Units, 01, 1119, NONE, NONE, 1, SEM, MW, 3:30-4:45PM, OPEN, ECS-416, Staff, Class instruction is: Face to Face - On Campus.
CECS 323, DATABASE FUNDAMENTALS, 3 Units, 02, 1120, NONE, NONE, 1, SEM, TuTh, 3:30-4:45PM, OPEN, ECS-302, Staff, Class instruction is: Face to Face - On Campus.
CECS 323, DATABASE FUNDAMENTALS, 3 Units, 03, 3795, NONE, NONE, 1, SEM, MW, 12:30-1:45PM, OPEN, ECS-302, Staff, Class instruction is: Face to Face - On Campus.
CECS 323, DATABASE FUNDAMENTALS, 3 Units, 04, 7149, NONE, NONE, 1, SEM, TuTh, 2-3:15PM, OPEN, ECS-302, Staff, Class instruction is: Face to Face - On Campus.
CECS 325, SYSTEM PROGRAMMING, 3 Units, 01, 7273, NONE, NONE, 1, SEM, MW, 6-7:15PM, OPEN, HC-100, Staff, Class instruction is: Face to Face - On Campus.
CECS 325, SYSTEM PROGRAMMING, 3 Units, 02, 7274, NONE, NONE, 1, SEM, TuTh, 5-6:15PM, OPEN, HSCI-100, Staff, Class instruction is: Face to Face - On Campus.
CECS 326, OPERATING SYSTEMS, 3 Units, 01, 1121, NONE, NONE, 1, SEM, TuTh, 5-6:15PM, OPEN, HC-120, Staff, Class instruction is: Face to Face - On Campus.
CECS 326, OPERATING SYSTEMS, 3 Units, 02, 1122, NONE, NONE, 1, SEM, MW, 2-3:15PM, OPEN, HC-100, Staff, Class instruction is: Face to Face - On Campus.
CECS 327, INTRO NETWORKS & DIST COMPUT, 3 Units, 01, 2818, NONE, NONE, 1, SEM, TuTh, 3:30-4:45PM, OPEN, ECS-105, Staff, Class instruction is: Face to Face - On Campus.
CECS 327, INTRO NETWORKS & DIST COMPUT, 3 Units, 02, 3600, NONE, NONE, 1, SEM, MW, 5-6:15PM, OPEN, HSCI-102, Staff, lass instruction is: Face to Face - On Campus. Class offered with CECS-327H-03
CECS 327H, INTRO NETWORKS & DIST COMPUT, 3 Units, 03, 5088, NONE, NONE, 1, SEM, MW, 5-6:15PM, OPEN, HSCI-102, Staff, lass instruction is: Face to Face - On Campus. Class offered with CECS-327-02
CECS 328, ALGORITHMS, 3 Units, 01, 1123, NONE, NONE, 1, SEM, TuTh, 11-12:15PM, OPEN, HC-100, Staff, lass instruction is: Face to Face - On Campus. Class offered with CECS-328H-05
CECS 328, ALGORITHMS, 3 Units, 02, 1124, NONE, NONE, 1, SEM, TuTh, 6:30-7:45PM, OPEN, HC-120, Staff, Class instruction is: Face to Face - On Campus.
CECS 328, ALGORITHMS, 3 Units, 03, 7150, NONE, NONE, 1, SEM, MW, 5:30-6:45PM, OPEN, LH-150, Staff, Class instruction is: Face to Face - On Campus.
CECS 328H, ALGORITHMS, 3 Units, 05, 6132, NONE, NONE, 1, SEM, TuTh, 11-12:15PM, OPEN, HC-100, Staff, lass instruction is: Face to Face - On Campus. Class offered with CECS-328-01
CECS 329, CONCEPTS COMPUTER SCI THEORY, 3 Units, 01, 6429, NONE, NONE, 1, SEM, TuTh, 8-9:15AM, OPEN, ECS-105, Staff, Class instruction is: Face to Face - On Campus.
CECS 329, CONCEPTS COMPUTER SCI THEORY, 3 Units, 02, 7128, NONE, NONE, 1, SEM, TuTh, 5:30-6:45PM, OPEN, VEC-330, Staff, Class instruction is: Face to Face - On Campus.
CECS 329, CONCEPTS COMPUTER SCI THEORY, 3 Units, 03, 7961, NONE, NONE, 1, SEM, MW, 12:30-1:45PM, OPEN, VEC-518, Staff, Class instruction is: Face to Face - On Campus.
CECS 329, CONCEPTS COMPUTER SCI THEORY, 3 Units, 04, 9329, NONE, NONE, NONE, SEM, TuTh, 9:30-10:45AM, OPEN, ECS-416, Staff, Class instruction is: Face to Face - On Campus.
CECS 341, COMPUTER ARCHITECT ORGANIZATIN, 3 Units, 01, 4819, NONE, NONE, 1, SEM, F, 1-3:45PM, OPEN, ECS-105, Staff, Class instruction is: Face to Face - On Campus.
CECS 341, COMPUTER ARCHITECT ORGANIZATIN, 3 Units, 02, 6982, NONE, NONE, 1, SEM, Sa, 8-10:30AM, OPEN, ECS-414, Staff, Class instruction is: Face to Face - On Campus.
CECS 342, PRINCPLE PROGRAMMING LANGUAGE, 3 Units, 01, 6430, NONE, NONE, 1, SEM, TuTh, 2-3:15PM, OPEN, FCS-008, Staff, Class instruction is: Face to Face - On Campus.
CECS 342, PRINCPLE PROGRAMMING LANGUAGE, 3 Units, 02, 6431, NONE, NONE, 1, SEM, MW, 2-3:15PM, OPEN, ECS-407, Staff, Class instruction is: Face to Face - On Campus.
CECS 342, PRINCPLE PROGRAMMING LANGUAGE, 3 Units, 05, 6433, NONE, NONE, 1, SEM, MW, 3:30-4:45PM, OPEN, FCS-008, Staff, Class instruction is: Face to Face - On Campus.
CECS 343, INTRO TO SOFTWARE ENGINEERING, 3 Units, 01, 4056, NONE, NONE, 1, SEM, MW, 5-6:15PM, OPEN, COB-140A, Staff, Class instruction is: Face to Face - On Campus.
CECS 343, INTRO TO SOFTWARE ENGINEERING, 3 Units, 03, 9301, NONE, NONE, 310, SEM, TuTh, 3:30-4:45PM, OPEN, ECS-412, Staff, Class instruction is: Face to Face - On Campus.
CECS 343, INTRO TO SOFTWARE ENGINEERING, 3 Units, 05, 9456, NONE, NONE, 1 310, SEM, F, 9-11:45AM, OPEN, ECS-407, Staff, Class instruction is: Face to Face - On Campus.
CECS 346, EMBEDDED SYSTEMS I, 3 Units, 01, 7065, NONE, NONE, 1, SEM, F, 10-11:50AM, OPEN, ECS-414, Staff, Class instruction is: Face to Face - On Campus.
CECS 346, EMBEDDED SYSTEMS I, 3 Units, 02, 7066, NONE, NONE, 1, LAB, F, 12-2:45PM, OPEN, ECS-414, Staff, Class instruction is: Face to Face - On Campus.
CECS 347, EMBEDDED SYSTEMS II, 3 Units, 01, 5972, NONE, NONE, 1, SEM, MW, 10-10:50AM, OPEN, ECS-414, Staff, Class instruction is: Face to Face - On Campus.
CECS 347, EMBEDDED SYSTEMS II, 3 Units, 02, 5973, NONE, NONE, 1, LAB, MW, 11-12:15PM, OPEN, ECS-414, Staff, Class instruction is: Face to Face - On Campus.
CECS 378, INTRO TO COMPUTER SECURITY PRI, 3 Units, 01, 4952, NONE, NONE, 1, SEM, TuTh, 11-12:15PM, OPEN, MM-200, Staff, Class instruction is: Face to Face - On Campus.
CECS 378, INTRO TO COMPUTER SECURITY PRI, 3 Units, 02, 5151, NONE, NONE, 1, SEM, TuTh, 5-6:15PM, OPEN, VEC-518, Staff, Class instruction is: Face to Face - On Campus.
CECS 378, INTRO TO COMPUTER SECURITY PRI, 3 Units, 03, 7129, NONE, NONE, 1, SEM, MW, 8-9:15AM, OPEN, ECS-407, Staff, Class instruction is: Face to Face - On Campus.
CECS 427, DYNAMIC NETWORKS, 3 Units, 01, 9240, NONE, NONE, NONE, SEM, TuTh, 12:30-1:45PM, OPEN, ECS-403, Staff, Class instruction is: Face to Face - On Campus.
CECS 429, SEARCH ENGINE TECHNOLOGY, 3 Units, 01, 10569, NONE, NONE, NONE, SEM, TuTh, 3:30-4:45PM, OPEN, VEC-518, Staff, Class instruction is: Face to Face - On Campus.
CECS 440, COMPUTER ARCHITECTURE, 3 Units, 05, 4815, NONE, NONE, 1, SEM, TuTh, 3:30-4:20PM, OPEN, ECS-308, Staff, lass instruction is: Face to Face - On Campus. Class offered with CECS-440H-01
CECS 440, COMPUTER ARCHITECTURE, 3 Units, 06, 4816, NONE, NONE, 1, LAB, TuTh, 4:30-5:45PM, OPEN, ECS-411, Staff, lass instruction is: Face to Face - On Campus. Class offered with CECS-440H-02
CECS 440H, COMPUTER ARCHITECTURE, 3 Units, 01, 5913, NONE, NONE, 1 34, SEM, TuTh, 3:30-4:20PM, OPEN, ECS-308, Staff, lass instruction is: Face to Face - On Campus. Class offered with CECS-440-05
CECS 440H, COMPUTER ARCHITECTURE, 3 Units, 02, 5914, NONE, NONE, 1 34, LAB, TuTh, 4:30-5:45PM, OPEN, ECS-411, Staff, lass instruction is: Face to Face - On Campus. Class offered with CECS-440-06
CECS 443, SOFTWARE PROJ MGMT AND TESTING, 3 Units, 01, 6439, NONE, NONE, 1, SEM, TuTh, 6:30-7:45PM, OPEN, VEC-518, Staff, Class instruction is: Face to Face - On Campus.
CECS 443, SOFTWARE PROJ MGMT AND TESTING, 3 Units, 02, 7981, NONE, NONE, 310 1, SEM, MW, 2-3:15PM, OPEN, ECS-412, Staff, Class instruction is: Face to Face - On Campus.
CECS 447, EMBEDDED SYSTEMS III, 3 Units, 01, 4802, NONE, NONE, 1, SEM, MW, 3-3:50PM, OPEN, ECS-414, Staff, Class instruction is: Face to Face - On Campus.
CECS 447, EMBEDDED SYSTEMS III, 3 Units, 02, 4803, NONE, NONE, 1, LAB, MW, 4-5:15PM, OPEN, ECS-414, Staff, Class instruction is: Face to Face - On Campus.
CECS 448, USER INTERFACE DESIGN, 3 Units, 01, 7601, NONE, NONE, NONE, SEM, TuTh, 11-12:15PM, OPEN, ECS-308, Staff, Class instruction is: Face to Face - On Campus.
CECS 448, USER INTERFACE DESIGN, 3 Units, 02, 7966, NONE, NONE, 310 1, SEM, TuTh, 2-3:15PM, OPEN, ECS-308, Staff, Class instruction is: Face to Face - On Campus.
CECS 450, DATA VISUALIZATION, 3 Units, 01, 9327, NONE, NONE, 1, SEM, MW, 5-6:15PM, OPEN, ECS-413, Staff, Class instruction is: Face to Face - On Campus.
CECS 451, ARTIFICIAL INTELLIGENCE, 3 Units, 01, 7507, NONE, NONE, NONE, SEM, TuTh, 9:30-10:45AM, OPEN, ECS-210, Staff, Class instruction is: Face to Face - On Campus.
CECS 451, ARTIFICIAL INTELLIGENCE, 3 Units, 02, 7856, NONE, NONE, 1, SEM, F, 12-2:45PM, OPEN, ECS-403, Staff, Class instruction is: Face to Face - On Campus.
CECS 453, MOBILE APPLICATION DEVELOPMENT, 3 Units, 01, 6113, NONE, NONE, 1, SEM, MW, 8-9:15AM, OPEN, ECS-405, Staff, Class instruction is: Face to Face - On Campus.
CECS 455, INTRO TO GAME PROGRAMMING, 3 Units, 01, 9403, NONE, NONE, 1, SEM, TuTh, 12:30-1:45PM, OPEN, ECS-405, Staff, Class instruction is: Face to Face - On Campus.
CECS 456, MACHINE LEARNING, 3 Units, 01, 5536, NONE, NONE, 1, SEM, MW, 12:30-1:45PM, OPEN, VEC-330, Staff, Class instruction is: Face to Face - On Campus.
CECS 456, MACHINE LEARNING, 3 Units, 02, 7117, NONE, NONE, 1, SEM, TuTh, 2-3:15PM, OPEN, HC-100, Staff, Class instruction is: Face to Face - On Campus.
CECS 460, SYSTEM ON CHIP DESIGN, 3 Units, 03, 7723, NONE, NONE, 1, SEM, TuTh, 7-7:50PM, OPEN, ECS-416, Staff, Class instruction is: Face to Face - On Campus.
CECS 460, SYSTEM ON CHIP DESIGN, 3 Units, 04, 7724, NONE, NONE, 1, LAB, TuTh, 8-9:15PM, OPEN, ECS-416, Staff, Class instruction is: Face to Face - On Campus.
CECS 463, DIGITAL SIGNAL PROCESS DESIGN, 3 Units, 01, 2899, NONE, NONE, 1, SEM, Sa, 8-9:40AM, OPEN, ECS-405, Staff, Class instruction is: Face to Face - On Campus.
CECS 463, DIGITAL SIGNAL PROCESS DESIGN, 3 Units, 02, 4140, NONE, NONE, 1, LAB, Sa, 10-12:30PM, OPEN, ECS-405, Staff, Class instruction is: Face to Face - On Campus.
CECS 474, COMPUTER NET INTEROPERABILITY, 3 Units, 01, 7107, NONE, NONE, 1, SEM, Sa, 8-9:40AM, OPEN, ECS-407, Staff, Class instruction is: Face to Face - On Campus.
CECS 474, COMPUTER NET INTEROPERABILITY, 3 Units, 02, 7108, NONE, NONE, 1, LAB, Sa, 10-12:30PM, OPEN, ECS-407, Staff, Class instruction is: Face to Face - On Campus.
CECS 475, SOFTWARE DVLPMNT WITH FRAMWRKS, 3 Units, 01, 1125, NONE, NONE, 1, SEM, MW, 9:30-10:45AM, OPEN, VEC-518, Staff, Class instruction is: Face to Face - On Campus.
CECS 478, INTRO TO COMPUTER SECURITY, 3 Units, 02, 7005, NONE, NONE, 1, SEM, MW, 11-12:15PM, OPEN, ECS-302, Staff, Class instruction is: Face to Face - On Campus.
CECS 490A, COMP ENGR SNR PRJCT I, 3 Units, 01, 4058, NONE, NONE, 1, SEM, MW, 12:30-1:45PM, OPEN, ECS-405, Hernandez E, Class instruction is: Face to Face - On Campus.
CECS 490B, COMPUTER ENGR SNR PROJECT II, 3 Units, 01, 3195, NONE, NONE, 1, SEM, MW, 6-7:15PM, OPEN, ECS-414, Cregg D, nstructor Consent Required Class instruction is: Face to Face - On Campus.
CECS 491A, COMPUTER SCI SENIOR PROJECT I, 3 Units, 01, 6124, NONE, NONE, 1, SEM, MW, 2-3:15PM, OPEN, ECS-411, Murgolo F, Class instruction is: Face to Face - On Campus.
CECS 491A, COMPUTER SCI SENIOR PROJECT I, 3 Units, 02, 6208, NONE, NONE, 1, SEM, TuTh, 12:30-1:45PM, OPEN, ECS-308, Hoffman F, Class instruction is: Face to Face - On Campus.
CECS 491A, COMPUTER SCI SENIOR PROJECT I, 3 Units, 03, 9404, NONE, NONE, NONE, SEM, MW, 11-12:15PM, OPEN, VEC-330, Albinali F, Class instruction is: Face to Face - On Campus.
CECS 491B, COMPUTER SCI SENIOR PROJECT II, 3 Units, 01, 4711, NONE, NONE, 1, SEM, TuTh, 11-12:15PM, OPEN, ECS-405, Hoffman F, nstructor Consent Required Class instruction is: Face to Face - On Campus.
CECS 491B, COMPUTER SCI SENIOR PROJECT II, 3 Units, 02, 4999, NONE, NONE, 1, SEM, TuTh, 2-3:15PM, OPEN, VEC-330, Hoffman F, nstructor Consent Required Class instruction is: Face to Face - On Campus.
CECS 491B, COMPUTER SCI SENIOR PROJECT II, 3 Units, 03, 6883, NONE, NONE, 1, SEM, TuTh, 5-6:15PM, OPEN, ECS-414, Hoffman F, nstructor Consent Required Class instruction is: Face to Face - On Campus.
CECS 491B, COMPUTER SCI SENIOR PROJECT II, 3 Units, 04, 6884, NONE, NONE, 1, SEM, TuTh, 3:30-4:45PM, OPEN, VEC-330, Hoffman F, nstructor Consent Required Class instruction is: Face to Face - On Campus.
CECS 491B, COMPUTER SCI SENIOR PROJECT II, 3 Units, 05, 6885, NONE, NONE, 1, SEM, MW, 9:30-10:45AM, OPEN, ECS-412, Albinali F, nstructor Consent Required Class instruction is: Face to Face - On Campus.
CECS 491B, COMPUTER SCI SENIOR PROJECT II, 3 Units, 06, 7506, NONE, NONE, NONE, SEM, MW, 12:30-1:45PM, OPEN, ECS-411, Albinali F, nstructor Consent Required Class instruction is: Face to Face - On Campus.
CECS 497, DIRECTED STUDIES, 1-3 Units, 21, 4837, NONE, NONE, 1, SUP, TBA, NA, OPEN, ECS-552, Staff, nstructor Consent Required Class instruction is: Face to Face - On Campus.
CECS 497, DIRECTED STUDIES, 1-3 Units, 22, 5064, NONE, NONE, 1 3, SUP, TBA, NA, OPEN, ECS-552, Staff, nstructor Consent Required Class instruction is: Face to Face - On Campus.
CECS 497, DIRECTED STUDIES, 1-3 Units, 23, 5138, NONE, NONE, 1 3, SUP, TBA, NA, OPEN, ECS-552, Staff, nstructor Consent Required Class instruction is: Face to Face - On Campus.
CECS 497, DIRECTED STUDIES, 1-3 Units, 24, 5493, NONE, NONE, 1 3, SUP, TBA, NA, OPEN, ECS-552, Staff, nstructor Consent Required Class instruction is: Face to Face - On Campus.
CECS 497, DIRECTED STUDIES, 1-3 Units, 25, 7219, NONE, NONE, 1 3, SUP, TBA, NA, OPEN, ECS-552, Staff, nstructor Consent Required Class instruction is: Face to Face - On Campus.
CECS 524, ADV TOPICS IN PROGRAMMING LANG, 3 Units, 01, 8791, NONE, NONE, 307, SEM, F, 12-2:45PM, OPEN, ECS-407, Staff, Class instruction is: Hybrid (Face to Face & Online).
CECS 524, ADV TOPICS IN PROGRAMMING LANG, 3 Units, 01, NONE, NONE, NONE, NONE, NONE, NA, NA, NONE, ONLINE-ONLY, Staff, additional meeting detail
